id,date,language,username,problemCode,contestCode,result,time,memory
18935567,2018-06-17 23:59:59,C++14,peacemaro,SONYASEG,COOK95A,WA,0.2,41928
18935568,2018-06-17 23:59:59,JAVA,siddharthp538,MINIONS,COOK95A,RTE,0.05,4706304
18935565,2018-06-17 23:59:57,C++14,nuip,BTMNTREE,COOK95A,RTE,0.01,31624
18935561,2018-06-17 23:59:56,C++14,ruddradev,MINIONS,COOK95A,WA,0.28,19976
18935547,2018-06-17 23:59:49,JAVA,baz__,SONYASEG,COOK95A,TLE,2.01,4804608
18935545,2018-06-17 23:59:48,C++14,niteshx2,MINIONS,COOK95A,TLE,1.51,26064
18935543,2018-06-17 23:59:46,C++14,rohit_0801,GOODPERM,COOK95A,WA,0.36,16064
18935539,2018-06-17 23:59:45,C++14,raveman,BTMNTREE,COOK95A,CTE,0,0
18935534,2018-06-17 23:59:43,C++14,vishal_125,MINIONS,COOK95A,TLE,1.51,17424
18935531,2018-06-17 23:59:40,C++14,peacemaro,SONYASEG,COOK95A,TLE,1.01,44936
18935529,2018-06-17 23:59:39,C++14,tihorsharma123,MINIONS,COOK95A,TLE,1.51,35576
18935521,2018-06-17 23:59:36,C++14,saurav3199,GOODPERM,COOK95A,CTE,0,0
18935522,2018-06-17 23:59:36,C++14,vivek_rathi_53,GOODPERM,COOK95A,AC,0.03,15240
18935519,2018-06-17 23:59:35,C++14,ftuknights,MINIONS,COOK95A,WA,0.34,50024
18935517,2018-06-17 23:59:34,C++14,guardian_123,MINIONS,COOK95A,WA,0.4,18240
18935498,2018-06-17 23:59:25,PYTH 3.5,fyfrog,MINIONS,COOK95A,WA,2.41,36168
18935490,2018-06-17 23:59:23,PYTH,agmohit92,MINIONS,COOK95A,WA,1.86,48808
18935487,2018-06-17 23:59:22,C++14,rishabh3538,MINIONS,COOK95A,WA,0.12,23840
18935483,2018-06-17 23:59:21,C++14,praveenkumar12,SONYASEG,COOK95A,RTE,0.33,69184
18935484,2018-06-17 23:59:21,C++14,chhote_log,MINIONS,COOK95A,RTE,1.38,118656
18935482,2018-06-17 23:59:20,C++14,peacemaro,SONYASEG,COOK95A,TLE,1.01,44944
18935479,2018-06-17 23:59:15,C++14,Ra16bit,BTMNTREE,COOK95A,WA,0.2,39528
18935474,2018-06-17 23:59:13,C++14,raveman,BTMNTREE,COOK95A,WA,0.26,47872
18935453,2018-06-17 23:59:04,C++14,herambpatil98,MINIONS,COOK95A,WA,0.4,35328
18935454,2018-06-17 23:59:04,C++14,hetshah1998,MINIONS,COOK95A,RTE,0.2,26080
18935451,2018-06-17 23:59:01,C++14,chant_coder,MINIONS,COOK95A,AC,0.43,24656
18935447,2018-06-17 23:58:58,C++14,raghavtripat,MINIONS,COOK95A,WA,0.38,23752
